id;ccode1;ccode2;year;trade1;trade2
21485;20;712;2009;155.84;7.49
21546;20;713;2009;1460.63;1147.5
21608;20;731;2009;0.1;25
21669;20;732;2009;5748.74;3535.33
21753;20;740;2009;11915.4;9171.7
21816;20;750;2009;1925.52;2117.71
21855;20;760;2009;0.01;0.15
21918;20;770;2009;234.56;403.29
21956;20;771;2009;775.83;408.83
22018;20;775;2009;0.06;0.14
22080;20;780;2009;111.59;322.74
22125;20;781;2009;0.06;11.55
22215;20;790;2009;12.94;4.03
22305;20;800;2009;2227.28;677.77
22362;20;811;2009;280.9;2.82
22419;20;812;2009;6.39;3.32
22475;20;816;2009;1022.53;300.2
22550;20;820;2009;2236.1;646.88
22595;20;830;2009;1091.9;965.86
22621;20;835;2009;1.78;5.59
22685;20;840;2009;714.42;259.04
22746;20;850;2009;969.85;992.5
22754;20;860;2009;-9;-9
22844;20;900;2009;1575.26;1610.26
22879;20;910;2009;2.02;37.24
22969;20;920;2009;438.53;333.69
22998;20;935;2009;0.19;1.9
23030;20;940;2009;0.1;0.75
23041;20;946;2009;0.11;0.07
23051;20;947;2009;0;-9
23091;20;950;2009;6.16;5.4
23102;20;955;2009;0.02;0.2
23113;20;970;2009;0.13;0.04
23132;20;983;2009;-9;-9
23148;20;986;2009;-9;-9
23167;20;987;2009;-9;-9
23201;20;990;2009;0;0.56
23238;31;40;2009;0.71;0
23275;31;41;2009;0.4;0.09
23312;31;42;2009;5;141.24
23349;31;51;2009;3.39;2.25
23386;31;52;2009;76.14;6.65
23423;31;53;2009;4.34;0.22
23455;31;54;2009;0.17;0.18
23491;31;55;2009;0;0.34
23522;31;56;2009;0.01;0.16
23553;31;57;2009;0.01;0.06
23582;31;58;2009;0.15;0.34
23609;31;60;2009;0;0.03
23646;31;70;2009;18.47;3.33
23675;31;80;2009;0.06;0.85
23712;31;90;2009;1.53;22.18
23749;31;91;2009;0.72;22.57
23786;31;92;2009;1.06;9.38
23823;31;93;2009;0;0
23860;31;94;2009;19.91;3.8
23897;31;95;2009;0.79;0
23934;31;100;2009;2.8;0.14
23971;31;101;2009;2215.45;1.77
24008;31;110;2009;0;0.03
24043;31;115;2009;0;0.25
24080;31;130;2009;1.79;13.92
24117;31;135;2009;3.05;0.47
24154;31;140;2009;84.84;2.78
24191;31;145;2009;0.08;0.05
24228;31;150;2009;0;0
24265;31;155;2009;2.46;0.13
24302;31;160;2009;13.39;2.99
24339;31;165;2009;2.67;0.04
24376;31;200;2009;31.05;6.88
24413;31;205;2009;3.16;0
24450;31;210;2009;156.13;5.91
24487;31;211;2009;3.63;11.39
24524;31;212;2009;0;0
24561;31;220;2009;30.5;16.32
24578;31;221;2009;-9;-9
24598;31;223;2009;-9;-9
24635;31;225;2009;112.87;54.45
24672;31;230;2009;38.98;1.43
24689;31;232;2009;-9;-9
24726;31;235;2009;0.14;0.25
24746;31;255;2009;-9;-9
24819;31;290;2009;176.37;284.08
24856;31;305;2009;12.72;0.01
24893;31;310;2009;0.15;0
24930;31;316;2009;0.02;0
24947;31;317;2009;0.01;0
24984;31;325;2009;408.29;3.13
25002;31;331;2009;-9;-9
25039;31;338;2009;0.13;0
25076;31;339;2009;0;0.12
25079;31;341;2009;-9;-9
25096;31;343;2009;0;0.06
25114;31;344;2009;0.07;0.41
25166;31;346;2009;-9;-9
25168;31;347;2009;-9;-9
25186;31;349;2009;0.33;0
25223;31;350;2009;3.5;0.68
25260;31;352;2009;0.04;0
25297;31;355;2009;1.8;0.72
25316;31;359;2009;0.02;0.04
25353;31;360;2009;0.09;0
25390;31;365;2009;56.49;1.49
25409;31;366;2009;0.07;0
25428;31;367;2009;0.46;0
25447;31;368;2009;0.41;0
25466;31;369;2009;0.01;1.57
25485;31;370;2009;0;0.06
25504;31;371;2009;0;0.06
25523;31;372;2009;0;0
25542;31;373;2009;0;0
25579;31;375;2009;6.76;0.09
25616;31;380;2009;5.02;0.07
25653;31;385;2009;66.14;0.9
25690;31;390;2009;39.34;0.14
25727;31;395;2009;0.23;1.68
